refinement,rows,nonzeros,repetition,order,cpu_ns,cuda_setup_ns,cuda_h2d_ns,cuda_action_ns,cuda_d2h_ns,cuda_phase_sum_ns,cuda_execution_wall_ns,cuda_verification_ns,cuda_verified_wall_ns,maximum_absolute_error,maximum_scaled_error,host_to_device_bytes,device_to_host_bytes,workspace_bytes
512,262144,1308672,5,cuda-first,2060526,156481169,2757695,2082481,1372841,162694186,238372358,1412114,239784472,1.33226762955018785e-15,8.88178419700125232e-5,25133064,2097152,10232
512,262144,1308672,6,cpu-first,1901219,148642125,2854065,1949354,1366081,154811625,228235204,1406518,229641722,1.33226762955018785e-15,8.88178419700125232e-5,25133064,2097152,10232
512,262144,1308672,7,cuda-first,2066118,145312899,2757451,1987947,1157663,151215960,225328865,1428088,226756953,1.33226762955018785e-15,8.88178419700125232e-5,25133064,2097152,10232
512,262144,1308672,8,cpu-first,1927607,168504845,2778489,2050529,1331803,174665666,249037323,1428958,250466281,1.33226762955018785e-15,8.88178419700125232e-5,25133064,2097152,10232
1024,1048576,5238784,0,cpu-first,8886670,181661896,11091834,2394842,1120790,196269362,285629981,5679198,291309179,1.33226762955018785e-15,6.66133814775093924e-5,100597768,8388608,40936
1024,1048576,5238784,1,cuda-first,8861094,176538560,10383120,2085432,1525368,190532480,280359205,5620560,285979765,1.33226762955018785e-15,6.66133814775093924e-5,100597768,8388608,40936
1024,1048576,5238784,2,cpu-first,8701722,174296026,10412227,2075589,2632943,189416785,276968178,5644670,282612848,1.33226762955018785e-15,6.66133814775093924e-5,100597768,8388608,40936
1024,1048576,5238784,3,cuda-first,11311282,180773589,13887820,3416645,4083975,202162029,290392541,7584076,297976617,1.33226762955018785e-15,6.66133814775093924e-5,100597768,8388608,40936
1024,1048576,5238784,4,cpu-first,8132298,181268872,10161903,2120232,2247781,195798788,283198212,5595566,288793778,1.33226762955018785e-15,6.66133814775093924e-5,100597768,8388608,40936
1024,1048576,5238784,5,cuda-first,8342171,184926942,10772287,2161280,2557726,200418235,292864453,5655108,298519561,1.33226762955018785e-15,6.66133814775093924e-5,100597768,8388608,40936
1024,1048576,5238784,6,cpu-first,8329580,172812002,10261605,2112839,2527953,187714399,276128002,5612183,281740185,1.33226762955018785e-15,6.66133814775093924e-5,100597768,8388608,40936
1024,1048576,5238784,7,cuda-first,8633327,173858479,10093052,2088842,3108373,189148746,281265920,5612926,286878846,1.33226762955018785e-15,6.66133814775093924e-5,100597768,8388608,40936
1024,1048576,5238784,8,cpu-first,9048327,181720946,10402983,2078921,2505177,196708027,285375302,5643200,291018502,1.33226762955018785e-15,6.66133814775093924e-5,100597768,8388608,40936
2048,4194304,20963328,0,cpu-first,36615131,277702546,46628327,2781285,23080643,350192801,502840509,24998438,527838947,1.11022302462515654e-15,6.66133814775093924e-5,402522120,33554432,163784
2048,4194304,20963328,1,cuda-first,46644292,299023684,50356655,2947915,26178467,378506721,540659636,26288164,566947800,1.11022302462515654e-15,6.66133814775093924e-5,402522120,33554432,163784
2048,4194304,20963328,2,cpu-first,47736778,344402414,54867408,3210728,24120866,426601416,595011084,24804249,619815333,1.11022302462515654e-15,6.66133814775093924e-5,402522120,33554432,163784
2048,4194304,20963328,3,cuda-first,64299097,491461430,85845210,4864828,39650623,621822091,855630226,47345793,902976019,1.11022302462515654e-15,6.66133814775093924e-5,402522120,33554432,163784
2048,4194304,20963328,4,cpu-first,39254547,291734541,50888915,3341183,23378175,369342814,519117352,25562597,544679949,1.11022302462515654e-15,6.66133814775093924e-5,402522120,33554432,163784
2048,4194304,20963328,5,cuda-first,36525889,290001100,44131352,3091416,19319263,356543131,505060278,23138067,528198345,1.11022302462515654e-15,6.66133814775093924e-5,402522120,33554432,163784
2048,4194304,20963328,6,cpu-first,37580186,278333419,47294628,3011288,20492466,349131801,502604351,24867671,527472022,1.11022302462515654e-15,6.66133814775093924e-5,402522120,33554432,163784
2048,4194304,20963328,7,cuda-first,45232067,300548569,49869478,2997602,20918540,374334189,536998832,25675516,562674348,1.11022302462515654e-15,6.66133814775093924e-5,402522120,33554432,163784
2048,4194304,20963328,8,cpu-first,48759528,333251691,53461254,3544676,22031009,412288630,578360364,25707390,604067754,1.11022302462515654e-15,6.66133814775093924e-5,402522120,33554432,163784
4096,16777216,83869696,0,cpu-first,152589534,678688645,188379726,4549983,80408761,952027115,1320053136,99292886,1419346022,1.33226762955018785e-15,8.88178419700125232e-5,1610350600,134217728,655240
4096,16777216,83869696,1,cuda-first,187440461,693887265,181628469,4215627,77327162,957058523,1343865420,94742181,1438607601,1.33226762955018785e-15,8.88178419700125232e-5,1610350600,134217728,655240
4096,16777216,83869696,2,cpu-first,154598045,603115336,167525953,4058668,72058887,846758844,1195638052,88614270,1284252322,1.33226762955018785e-15,8.88178419700125232e-5,1610350600,134217728,655240
4096,16777216,83869696,3,cuda-first,150008973,623512997,162890538,4130446,74575831,865109812,1203135507,89888047,1293023554,1.33226762955018785e-15,8.88178419700125232e-5,1610350600,134217728,655240
4096,16777216,83869696,4,cpu-first,148931415,630574080,170832825,4333589,76160083,881900577,1224169949,94248334,1318418283,1.33226762955018785e-15,8.88178419700125232e-5,1610350600,134217728,655240
4096,16777216,83869696,5,cuda-first,148231516,722723231,172852974,4356143,80791370,980723718,1346883894,93578626,1440462520,1.33226762955018785e-15,8.88178419700125232e-5,1610350600,134217728,655240
4096,16777216,83869696,6,cpu-first,147696409,627530078,162396822,4145539,71639977,865712416,1210583119,88809221,1299392340,1.33226762955018785e-15,8.88178419700125232e-5,1610350600,134217728,655240
4096,16777216,83869696,7,cuda-first,180680745,661658193,191209182,4457320,87804356,945129051,1293517391,95431177,1388948568,1.33226762955018785e-15,8.88178419700125232e-5,1610350600,134217728,655240
4096,16777216,83869696,8,cpu-first,176898129,686483584,184480178,4833605,89435785,965233152,1332482346,97792227,1430274573,1.33226762955018785e-15,8.88178419700125232e-5,1610350600,134217728,655240
