cells_per_axis,h_max,fem_l2,fem_order,fvm_l2,fvm_order,fem_relative_balance,fvm_relative_balance
4,2.5000000000000000e-1,2.2983023827008297e-2,,3.7299297296785064e-2,,4.6517448618624510e-16,2.1518310410003930e-16
8,1.2500000000000000e-1,5.7456016957619910e-3,2.000038733729,9.6380372269055310e-3,1.952337172354,1.7439631918763570e-16,4.5615910274763020e-15
16,6.2500000000000000e-2,1.4366736839623673e-3,1.999725568597,2.4294977075813380e-3,1.988081302335,4.5923649350155490e-15,1.3884380082471407e-15
