cells_per_axis,h_max,fem_l2,fem_order,fvm_l2,fvm_order,fem_relative_balance,fvm_relative_balance
4,2.5000000000000000e-1,3.0180160378930570e-2,,3.0155249953930468e-2,,5.5521126067389790e-17,0.0000000000000000e0
8,1.2500000000000000e-1,7.5872136577202320e-3,1.991958402402,7.5868170625847350e-3,1.990842537391,3.8858235791465405e-16,5.4801431768428520e-16
16,6.2500000000000000e-2,1.8997045657856884e-3,1.997795090905,1.8996983441561020e-3,1.997724401989,2.7755594738276760e-16,0.0000000000000000e0
32,3.1250000000000000e-2,4.7511166837364870e-4,1.999436530255,4.7511157107700834e-4,1.999432100792,2.5535130664920870e-15,1.1093315905199917e-16
