steps,step,terminal_l2_error,observed_order,constraint_error
10,1.0000000000000000e-1,2.2116138367007383e-2,,2.7755575615628914e-17
20,5.0000000000000000e-2,1.1234336075507990e-2,0.977184635941,0.0000000000000000e0
40,2.5000000000000000e-2,5.6626276671572370e-3,0.988371289924,0.0000000000000000e0
80,1.2500000000000000e-2,2.8428606953024140e-3,0.994128265510,0.0000000000000000e0
